dimensao,buracos,monstros,taxa_vitoria,morte_buraco,morte_monstro,travamento,score_medio,desvio_padrao
4,1,1,100.00,0.00,0.00,0.00,1189.46,5.98
4,1,2,95.60,0.40,2.50,1.50,1113.97,372.47
4,1,3,73.20,1.90,21.80,3.10,660.77,899.54
4,2,1,94.30,5.70,0.00,0.00,1067.13,498.26
4,2,2,77.20,12.80,7.00,3.00,743.34,846.62
4,2,3,44.50,16.60,32.60,6.30,95.89,1018.06
4,3,1,67.50,32.00,0.00,0.50,514.27,981.47
4,3,2,45.60,38.70,10.30,5.40,110.88,1022.73
4,3,3,25.70,36.20,33.20,4.90,-319.18,923.83
5,1,1,100.00,0.00,0.00,0.00,1181.92,6.05
5,1,2,98.40,0.00,1.30,0.30,1150.15,249.33
5,1,3,88.90,0.40,9.20,1.50,962.97,637.43
5,1,4,71.50,0.60,26.80,1.10,598.72,937.11
5,1,5,46.10,0.70,52.10,1.10,67.32,1043.53
5,2,1,98.20,1.80,0.00,0.00,1141.67,286.54
5,2,2,91.90,4.60,2.30,1.20,1024.46,542.34
5,2,3,76.00,7.30,14.10,2.60,704.89,869.78
5,2,4,50.80,8.90,37.50,2.80,184.90,1033.86
5,2,5,29.40,10.50,58.50,1.60,-281.17,959.83
5,3,1,87.00,13.00,0.00,0.00,906.42,713.46
5,3,2,74.60,19.40,4.40,1.60,663.62,903.00
5,3,3,56.80,25.40,15.20,2.60,308.45,1021.62
5,3,4,32.40,27.10,38.50,2.00,-209.86,981.82
5,3,5,17.10,23.40,57.50,2.00,-534.07,801.29
5,4,1,61.80,38.20,0.00,0.00,377.90,1026.47
5,4,2,48.50,43.30,6.70,1.50,114.49,1049.95
5,4,3,34.40,43.30,20.20,2.10,-171.32,998.03
5,4,4,18.90,42.00,37.80,1.30,-501.22,828.85
5,4,5,9.40,38.40,50.80,1.40,-704.15,628.29
5,5,1,39.00,60.80,0.00,0.20,-98.33,1030.47
5,5,2,28.50,64.80,6.10,0.60,-305.95,950.17
5,5,3,18.00,60.60,20.80,0.60,-530.44,814.69
5,5,4,11.30,52.00,35.70,1.00,-671.24,678.22
5,5,5,6.80,48.00,44.20,1.00,-766.76,546.01
6,1,1,100.00,0.00,0.00,0.00,1174.35,7.07
6,1,2,99.60,0.00,0.20,0.20,1165.94,107.95
6,1,3,97.10,0.00,2.60,0.30,1114.37,338.89
6,1,4,86.70,0.30,11.80,1.20,905.15,695.43
6,1,5,68.50,0.30,29.90,1.30,529.98,960.05
6,1,6,49.90,0.40,49.30,0.40,128.67,1051.08
6,1,7,31.90,0.10,67.40,0.60,-245.13,980.86
6,1,8,20.60,0.10,78.80,0.50,-483.72,855.25
6,2,1,98.70,1.30,0.00,0.00,1143.14,247.01
6,2,2,97.30,1.40,1.10,0.20,1114.82,337.62
6,2,3,90.10,3.60,5.20,1.10,973.15,609.14
6,2,4,77.50,4.60,17.10,0.80,707.32,871.03
6,2,5,58.00,6.60,34.60,0.80,299.28,1033.94
6,2,6,41.40,7.00,50.50,1.10,-37.96,1028.93
6,2,7,24.50,7.10,67.70,0.70,-409.08,912.70
6,2,8,13.40,5.80,80.40,0.40,-637.80,724.40
6,3,1,94.60,5.40,0.00,0.00,1055.77,478.91
6,3,2,87.60,9.80,1.70,0.90,919.69,677.85
6,3,3,77.70,12.60,8.30,1.40,717.29,860.79
6,3,4,61.70,15.40,21.30,1.60,384.39,1011.14
6,3,5,43.20,17.50,38.00,1.30,-5.07,1038.50
6,3,6,29.10,15.70,54.40,0.80,-302.04,955.52
6,3,7,17.20,17.40,65.00,0.40,-558.83,799.74
6,3,8,9.50,13.70,76.80,0.00,-725.90,624.08
6,4,1,81.30,18.70,0.00,0.00,776.86,823.88
6,4,2,72.70,22.80,3.10,1.40,611.31,926.47
6,4,3,61.50,27.30,10.00,1.20,374.52,1018.67
6,4,4,45.60,28.90,23.10,2.40,58.04,1037.83
6,4,5,30.10,32.90,36.20,0.80,-283.05,965.56
6,4,6,18.90,29.10,51.50,0.50,-523.28,829.24
6,4,7,10.00,25.20,64.00,0.80,-707.98,642.70
6,4,8,6.20,24.50,69.00,0.30,-794.15,520.37
6,5,1,63.00,36.90,0.00,0.10,392.93,1019.26
6,5,2,54.40,40.90,4.60,0.10,215.08,1049.73
6,5,3,46.30,42.80,9.50,1.40,62.28,1043.11
6,5,4,28.90,46.00,23.90,1.20,-302.51,953.26
6,5,5,19.50,43.70,36.20,0.60,-507.98,838.71
6,5,6,12.60,40.30,46.80,0.30,-660.68,706.95
6,5,7,6.10,34.90,58.30,0.70,-792.18,518.04
6,5,8,3.50,32.00,64.40,0.10,-861.71,401.35
6,6,1,44.00,55.90,0.00,0.10,-8.46,1052.26
6,6,2,36.40,58.10,4.90,0.60,-155.76,1014.39
6,6,3,29.70,55.90,14.00,0.40,-296.91,964.53
6,6,4,18.20,59.30,21.90,0.60,-536.90,817.79
6,6,5,10.20,57.20,31.90,0.70,-707.21,647.97
6,6,6,7.20,51.40,41.20,0.20,-774.36,554.67
6,6,7,3.50,47.60,48.80,0.10,-858.25,400.84
6,6,8,2.20,37.20,60.50,0.10,-889.04,326.07
6,7,1,27.10,72.90,0.00,0.00,-363.49,942.60
6,7,2,21.50,74.30,4.10,0.10,-477.89,871.42
6,7,3,16.20,72.30,11.30,0.20,-589.35,783.80
6,7,4,9.90,68.20,21.60,0.30,-721.27,639.12
6,7,5,7.80,60.60,31.50,0.10,-766.55,574.40
6,7,6,4.20,53.00,42.70,0.10,-847.82,435.36
6,7,7,1.40,50.70,47.50,0.40,-895.05,272.86
6,7,8,0.50,45.20,54.20,0.10,-921.20,178.66
6,8,1,19.00,81.00,0.00,0.00,-534.92,834.21
6,8,2,13.50,82.10,4.40,0.00,-650.05,728.67
6,8,3,9.80,77.70,12.30,0.20,-721.81,635.78
6,8,4,5.40,75.60,18.90,0.10,-817.83,487.48
6,8,5,3.50,70.30,26.20,0.00,-860.79,400.03
6,8,6,2.50,60.90,36.60,0.00,-885.30,343.94
